-5912,80.0831,36.8916,1.45138,1138.92,1.86999E-05
-5911,80.0796,36.8903,1.45134,1138.91,1.86998E-05
-5910,80.076,36.8891,1.45129,1138.91,1.86997E-05
-5909,80.0724,36.8878,1.45125,1138.9,1.86996E-05
-5908,80.0689,36.8865,1.45121,1138.9,1.86996E-05
-5907,80.0653,36.8852,1.45117,1138.9,1.86995E-05
-5906,80.0617,36.8839,1.45113,1138.89,1.86994E-05
-5905,80.0582,36.8827,1.45109,1138.89,1.86993E-05
-5904,80.0546,36.8814,1.45105,1138.89,1.86992E-05
-5903,80.051,36.8801,1.45101,1138.88,1.86991E-05
-5902,80.0475,36.8788,1.45097,1138.88,0.000018699
-5901,80.0439,36.8775,1.45093,1138.87,1.86989E-05
-5900,80.0403,36.8763,1.45089,1138.87,1.86988E-05
-5899,80.0368,36.875,1.45085,1138.87,1.86987E-05
-5898,80.0332,36.8737,1.4508,1138.86,1.86986E-05
-5897,80.0296,36.8724,1.45076,1138.86,1.86985E-05
-5896,80.0261,36.8711,1.45072,1138.86,1.86984E-05
-5895,80.0225,36.8699,1.45068,1138.85,1.86983E-05
-5894,80.0189,36.8686,1.45064,1138.85,1.86982E-05
-5893,80.0154,36.8673,1.4506,1138.84,1.86981E-05
-5892,80.0118,36.866,1.45056,1138.84,0.000018698
-5891,80.0082,36.8647,1.45052,1138.84,1.86979E-05
-5890,80.0047,36.8635,1.45048,1138.83,1.86978E-05
-5889,80.0011,36.8622,1.45044,1138.83,1.86977E-05
-5888,79.9976,36.8609,1.4504,1138.83,1.86976E-05
-5887,79.994,36.8596,1.45036,1138.82,1.86975E-05
-5886,79.9904,36.8583,1.45032,1138.82,1.86974E-05
-5885,79.9869,36.8571,1.45027,1138.81,1.86973E-05
-5884,79.9833,36.8558,1.45023,1138.81,1.86972E-05
-5883,79.9797,36.8545,1.45019,1138.81,1.86971E-05
-5882,79.9762,36.8532,1.45015,1138.8,0.000018697
-5881,79.9726,36.8519,1.45011,1138.8,1.86969E-05
-5880,79.969,36.8507,1.45007,1138.79,1.86968E-05
-5879,79.9655,36.8494,1.45003,1138.79,1.86967E-05
-5878,79.9619,36.8481,1.44999,1138.79,1.86966E-05
-5877,79.9583,36.8468,1.44995,1138.78,1.86965E-05
-5876,79.9548,36.8455,1.44991,1138.78,1.86964E-05
-5875,79.9512,36.8443,1.44987,1138.78,1.86963E-05
-5874,79.9476,36.843,1.44983,1138.77,1.86963E-05
-5873,79.9441,36.8417,1.44979,1138.77,1.86962E-05
-5872,79.9405,36.8404,1.44974,1138.76,1.86961E-05
-5871,79.9369,36.8391,1.4497,1138.76,0.000018696
-5870,79.9334,36.8379,1.44966,1138.76,1.86959E-05
-5869,79.9298,36.8366,1.44962,1138.75,1.86958E-05
-5868,79.9262,36.8353,1.44958,1138.75,1.86957E-05
-5867,79.9227,36.834,1.44954,1138.75,1.86956E-05
-5866,79.9191,36.8327,1.4495,1138.74,1.86955E-05
-5865,79.9155,36.8315,1.44946,1138.74,1.86954E-05
-5864,79.912,36.8302,1.44942,1138.73,1.86953E-05
-5863,79.9084,36.8289,1.44938,1138.73,1.86952E-05
-5862,79.9048,36.8276,1.44934,1138.73,1.86951E-05
-5861,79.9013,36.8263,1.4493,1138.72,0.000018695
