0.224,GS-Custom,HV No.096,50,50,0.791,0.142,0.387,0.387,0.387,0.387,0.387,0,0,0,0
0.224,GS-Custom,HP No.002,50,50,0.78,0.142,0.26,0.26,0.26,0.26,0.26,0,0,0,0
0.224,GS-Custom,HP No.001,45,45,0.726,0.128,0.25,0.25,0.25,0.25,0.25,0,0,0,0
0.224,GS-Custom,HV No.057,40,40,0.652,0.114,0.215,0.215,0.215,0.215,0.215,0,0,0,0
0.224,GS-Custom,HV No.058,35,35,0.554,0.1,0.203,0.203,0.203,0.203,0.203,0,0,0,0
0.224,H&N,RN HS,55,55,0.606,0.157,0.151,0.151,0.151,0.151,0.151,0,0,0,0
0.224,H&N,RN HS,45,45,0.518,0.128,0.125,0.125,0.125,0.125,0.125,0,0,0,0
0.224,HeviShot,DeadCoyote,70,70,0.882,0.199,0.298,0.298,0.298,0.298,0.298,0,0,0,0
0.224,Hirtenberger,ABC,70,70,N/A,0.199,0.216,0.216,0.216,0.216,0.216,0,0,0,0
0.224,Hornady,A-MAX 22832,80,80,1.16,0.228,0.453,0.453,0.453,0.453,0.453,0,0,0,0
0.224,Hornady,BTHP M 2279,75,75,0.98,0.214,0.395,0.395,0.395,0.395,0.395,0,0,0,0
0.224,Hornady,A-MAX 22792,75,75,1.08,0.214,0.432,0.432,0.432,0.432,0.432,0,0,0,0
0.224,Hornady,A-MAX 22792,75,75,1.07,0.214,0.435,0.435,0.435,0.435,0.435,0,0,0,0
0.224,Hornady,BTHP M 2278,68,68,0.985,0.194,0.355,0.355,0.355,0.355,0.355,0,0,0,0
0.224,Hornady,V-MAX FB 22281,60,60,0.87,0.171,0.265,0.265,0.265,0.265,0.265,0,0,0,0
0.224,Hornady,SP 2270,60,60,0.7,0.171,0.264,0.264,0.264,0.264,0.264,0,0,0,0
0.224,Hornady,HP 2275,60,60,0.795,0.171,0.271,0.271,0.271,0.271,0.271,0,0,0,0
0.224,Hornady,V-MAX FB 22271,55,55,0.813,0.157,0.252,0.252,0.252,0.252,0.252,0,0,0,0
0.224,Hornady,SXSP 2260,55,55,0.63,0.157,0.235,0.235,0.235,0.235,0.235,0,0,0,0
0.224,Hornady,SP w/c 2266,55,55,0.715,0.157,0.235,0.235,0.235,0.235,0.235,0,0,0,0
0.224,Hornady,SP 2265,55,55,0.715,0.157,0.235,0.235,0.235,0.235,0.235,0,0,0,0
0.224,Hornady,FMJ-BT w/c 2267,55,55,0.735,0.157,0.243,0.243,0.243,0.243,0.243,0,0,0,0
0.224,Hornady,HP M 2250,53,53,0.715,0.151,0.218,0.218,0.218,0.218,0.218,0,0,0,0
0.224,Hornady,BTHP M 2249,52,52,0.71,0.148,0.229,0.229,0.229,0.229,0.229,0,0,0,0
0.224,Hornady,A-MAX 22492,52,52,0.797,0.148,0.247,0.247,0.247,0.247,0.247,0,0,0,0
0.224,Hornady,V-MAX BT 22261,50,50,0.8,0.142,0.242,0.242,0.242,0.242,0.242,0,0,0,0
0.224,Hornady,SXSP 2240,50,50,0.595,0.142,0.214,0.214,0.214,0.214,0.214,0,0,0,0
0.224,Hornady,SP 2245,50,50,0.66,0.142,0.214,0.214,0.214,0.214,0.214,0,0,0,0
